iter	Passed	Remaining
249	513	1541
250	515	1537
251	516	1532
252	517	1528
253	519	1524
254	520	1520
255	521	1515
256	522	1511
257	524	1507
258	525	1503
259	526	1499
260	528	1495
261	529	1492
262	531	1488
263	532	1484
264	534	1481
265	535	1478
266	537	1474
267	538	1470
268	539	1465
269	540	1461
270	541	1457
271	543	1454
272	544	1450
273	546	1448
274	547	1444
275	549	1440
276	550	1437
277	552	1434
278	553	1430
279	555	1428
280	556	1424
281	558	1421
282	559	1417
283	560	1413
284	561	1409
285	563	1405
286	564	1402
287	566	1399
288	567	1396
289	569	1393
290	570	1389
291	571	1386
292	573	1384
293	575	1380
294	576	1376
295	577	1373
296	578	1369
297	580	1366
298	581	1364
299	583	1361
300	584	1358
301	586	1354
302	587	1350
303	588	1347
304	589	1343
305	590	1340
306	591	1336
307	593	1332
308	594	1329
309	596	1326
310	597	1324
311	599	1321
312	600	1318
313	602	1315
314	603	1312
315	604	1309
316	606	1306
317	607	1302
318	608	1299
319	609	1296
320	611	1293
321	612	1290
322	614	1287
323	615	1284
324	616	1281
325	618	1277
326	619	1274
327	620	1270
328	621	1267
329	622	1264
330	623	1261
331	625	1258
332	626	1255
333	628	1252
334	629	1249
335	630	1246
336	632	1243
337	634	1242
338	635	1238
339	636	1235
340	637	1232
341	638	1228
342	640	1226
343	642	1224
344	643	1222
345	645	1219
346	646	1216
347	647	1213
348	648	1210
349	649	1206
350	651	1203
351	652	1200
352	653	1197
353	655	1195
354	656	1192
355	657	1189
356	658	1186
357	660	1185
358	662	1182
359	663	1179
360	664	1176
361	665	1173
362	667	1170
363	668	1167
364	669	1165
365	670	1162
366	672	1159
367	673	1156
368	674	1154
369	676	1151
370	677	1148
371	678	1145
372	679	1142
373	681	1140
374	682	1137
375	683	1134
376	685	1132
377	686	1129
378	687	1126
379	688	1123
380	689	1120
381	690	1117
382	692	1115
383	693	1112
384	694	1109
385	695	1106
386	696	1103
387	697	1100
388	699	1098
389	700	1095
390	701	1093
391	703	1090
392	704	1087
393	705	1085
394	707	1082
395	708	1080
396	709	1077
397	710	1074
398	711	1072
399	712	1069
400	714	1066
401	715	1064
402	716	1061
403	717	1058
404	718	1056
405	720	1053
406	721	1050
407	722	1048
408	723	1045
409	724	1042
410	725	1040
411	727	1037
412	728	1035
413	729	1032
414	731	1030
415	732	1028
416	733	1025
417	734	1022
418	736	1020
419	737	1018
420	738	1015
421	739	1013
422	741	1011
423	742	1008
424	743	1006
425	744	1003
426	746	1001
427	747	998
428	748	996
429	749	993
430	750	991
431	752	989
432	753	986
433	755	984
434	756	982
435	757	980
436	759	978
437	761	976
438	762	974
439	764	973
440	765	970
441	767	968
442	768	966
443	769	964
444	771	962
445	773	960
446	774	958
447	775	955
448	777	953
449	778	951
450	779	948
451	780	946
452	781	944
453	783	941
454	784	939
455	785	937
456	786	934
457	788	932
458	789	930
459	790	928
